Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,0.9171,0.9222,0.9171,0.9067,0.9074,0.9131,0.9074,0.9048,0.9151,0.9204,0.9151,0.9129,0.976,not-balanced,100,10,3,4,430,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0054, 'anger': 0.0052, 'anticipation': 0.0046, 'trust': 0.0057, 'surprise': 0.0044, 'sadness': 0.0068, 'disgust': 0.0048, 'joy': 0.0083, 'a_score': 0.3726}",RandomForestClassifier()
RandomForestClassifier,0.915,0.9205,0.915,0.9036,0.9109,0.9179,0.9109,0.9083,0.9151,0.9222,0.9151,0.9127,0.9763,not-balanced,100,10,4,3,260,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0055, 'anger': 0.0037, 'anticipation': 0.0037, 'trust': 0.0031, 'surprise': 0.0051, 'sadness': 0.005, 'disgust': 0.004, 'joy': 0.0048, 'a_score': 0.3668}",RandomForestClassifier()
RandomForestClassifier,0.9141,0.9192,0.9141,0.9028,0.91,0.9152,0.91,0.9077,0.9151,0.9211,0.9151,0.9129,0.9763,not-balanced,100,10,9,3,582,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0058, 'anger': 0.0044, 'anticipation': 0.0055, 'trust': 0.0053, 'surprise': 0.005, 'sadness': 0.007, 'disgust': 0.0075, 'joy': 0.0051, 'a_score': 0.3699}",RandomForestClassifier()
DecisionTreeClassifier,0.9158,0.9216,0.9158,0.9046,0.9128,0.9185,0.9128,0.9105,0.9151,0.9216,0.9151,0.9127,0.9674,not-balanced,100,10,10,2,979,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0068, 'anger': 0.0033, 'anticipation': 0.0045, 'trust': 0.0045, 'surprise': 0.0047, 'sadness': 0.0069, 'disgust': 0.0045, 'joy': 0.005, 'a_score': 0.366}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9152,0.9208,0.9152,0.904,0.9135,0.9195,0.9135,0.9112,0.9151,0.9216,0.9151,0.9127,0.9689,not-balanced,100,10,6,1,77,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.006, 'anger': 0.0031, 'anticipation': 0.0067, 'trust': 0.0047, 'surprise': 0.004, 'sadness': 0.0065, 'disgust': 0.0043, 'joy': 0.0054, 'a_score': 0.3688}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9153,0.9209,0.9153,0.9037,0.9118,0.9185,0.9118,0.9094,0.9151,0.9219,0.9151,0.9127,0.9667,not-balanced,100,10,4,4,129,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0063, 'anger': 0.0034, 'anticipation': 0.0051, 'trust': 0.0044, 'surprise': 0.0033, 'sadness': 0.0042, 'disgust': 0.0066, 'joy': 0.0032, 'a_score': 0.3667}",DecisionTreeClassifier()
DecisionTreeClassifier,0.915,0.9202,0.915,0.9038,0.9121,0.9188,0.9121,0.9097,0.9151,0.922,0.9151,0.9126,0.967,not-balanced,100,10,1,5,607,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0056, 'anger': 0.0033, 'anticipation': 0.0051, 'trust': 0.0047, 'surprise': 0.0052, 'sadness': 0.0044, 'disgust': 0.0044, 'joy': 0.0058, 'a_score': 0.3684}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9131,0.9183,0.9131,0.902,0.9148,0.9212,0.9148,0.9124,0.9151,0.9221,0.9151,0.9126,0.9658,not-balanced,100,10,5,3,405,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0051, 'anger': 0.0044, 'anticipation': 0.0054, 'trust': 0.004, 'surprise': 0.005, 'sadness': 0.0068, 'disgust': 0.0046, 'joy': 0.0036, 'a_score': 0.3675}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9164,0.9219,0.9164,0.9053,0.9111,0.9165,0.9111,0.9088,0.9151,0.9207,0.9151,0.9129,0.9686,not-balanced,100,10,7,5,270,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.008, 'anger': 0.0047, 'anticipation': 0.0063, 'trust': 0.0049, 'surprise': 0.0056, 'sadness': 0.0082, 'disgust': 0.004, 'joy': 0.009, 'a_score': 0.367}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9138,0.9197,0.9138,0.9026,0.9152,0.9206,0.9152,0.913,0.915,0.9212,0.915,0.9126,0.9665,not-balanced,100,10,8,1,788,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0054, 'anger': 0.0031, 'anticipation': 0.006, 'trust': 0.0054, 'surprise': 0.0042, 'sadness': 0.0059, 'disgust': 0.0054, 'joy': 0.0067, 'a_score': 0.3667}",DecisionTreeClassifier()
RandomForestClassifier,0.9126,0.9186,0.9126,0.9015,0.914,0.9201,0.914,0.9115,0.915,0.9218,0.915,0.9125,0.975,not-balanced,100,10,7,1,37,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.006, 'anger': 0.0045, 'anticipation': 0.0052, 'trust': 0.0042, 'surprise': 0.005, 'sadness': 0.0073, 'disgust': 0.0043, 'joy': 0.0044, 'a_score': 0.3682}",RandomForestClassifier()
DecisionTreeClassifier,0.9123,0.918,0.9123,0.9002,0.9162,0.9227,0.9162,0.914,0.915,0.9219,0.915,0.9125,0.9648,not-balanced,100,10,5,2,149,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0059, 'anger': 0.0034, 'anticipation': 0.0047, 'trust': 0.004, 'surprise': 0.0035, 'sadness': 0.0065, 'disgust': 0.0036, 'joy': 0.0054, 'a_score': 0.363}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9132,0.9184,0.9132,0.9021,0.9134,0.919,0.9134,0.9111,0.915,0.921,0.915,0.9127,0.9677,not-balanced,100,10,3,1,538,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0048, 'anger': 0.0043, 'anticipation': 0.0067, 'trust': 0.0051, 'surprise': 0.004, 'sadness': 0.006, 'disgust': 0.0046, 'joy': 0.0093, 'a_score': 0.3705}",DecisionTreeClassifier()
RandomForestClassifier,0.912,0.9175,0.912,0.9005,0.914,0.9206,0.914,0.9115,0.9149,0.9217,0.9149,0.9124,0.9743,not-balanced,100,10,7,3,551,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.006, 'anger': 0.0032, 'anticipation': 0.0053, 'trust': 0.0044, 'surprise': 0.0028, 'sadness': 0.006, 'disgust': 0.0041, 'joy': 0.0039, 'a_score': 0.368}",RandomForestClassifier()
DecisionTreeClassifier,0.9123,0.9176,0.9123,0.901,0.9175,0.9226,0.9175,0.9154,0.9149,0.9208,0.9149,0.9127,0.9675,not-balanced,100,10,3,4,820,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0067, 'anger': 0.0051, 'anticipation': 0.0069, 'trust': 0.0042, 'surprise': 0.0042, 'sadness': 0.0052, 'disgust': 0.0049, 'joy': 0.0086, 'a_score': 0.365}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9167,0.922,0.9167,0.9059,0.9112,0.917,0.9112,0.9088,0.9149,0.9209,0.9149,0.9126,0.9674,not-balanced,100,10,10,5,635,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0051, 'anger': 0.0037, 'anticipation': 0.005, 'trust': 0.0051, 'surprise': 0.0037, 'sadness': 0.0049, 'disgust': 0.004, 'joy': 0.0089, 'a_score': 0.3708}",DecisionTreeClassifier()
RandomForestClassifier,0.9132,0.9191,0.9132,0.902,0.914,0.9203,0.914,0.9115,0.9149,0.9221,0.9149,0.9124,0.9751,not-balanced,100,10,10,2,660,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0067, 'anger': 0.0046, 'anticipation': 0.0043, 'trust': 0.0051, 'surprise': 0.0039, 'sadness': 0.0071, 'disgust': 0.0038, 'joy': 0.0046, 'a_score': 0.3671}",RandomForestClassifier()
