Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Ngram;Vect. Strategy;Bal. Strategy;% of Features;Folds;Feat. Selec. Strategy;Hyper Params.;Model
DecisionTreeClassifier;0.7385;0.741;0.7385;0.707;0.861;(1, 2);TF-IDF;mixed;5;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7383;0.7476;0.7383;0.712;0.8506;(1, 2);TF-IDF;smote;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7381;0.7431;0.7381;0.7109;0.8562;(1, 2);TF-IDF;mixed;5;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7381;0.7446;0.7381;0.7038;0.8518;(1, 2);TF-IDF;under;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7373;0.7439;0.7373;0.7081;0.8594;(1, 2);TF-IDF;over;5;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7371;0.7426;0.7371;0.7061;0.8572;(1, 2);TF-IDF;over;5;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7364;0.7437;0.7364;0.7109;0.8551;(1, 2);TF-IDF;smote;5;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.736;0.7425;0.736;0.7078;0.8604;(1, 2);TF-IDF;over;5;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7358;0.7443;0.7358;0.711;0.8558;(1, 2);TF-IDF;smote;5;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7357;0.7432;0.7357;0.7077;0.8497;(1, 2);TF-IDF;smote;5;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
