Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Ngram;Vect. Strategy;Bal. Strategy;% of Features;Folds;Feat. Selec. Strategy;Hyper Params.;Model
MultinomialNB;0.8334;0.8426;0.8334;0.8364;0.9477;(1, 2);TF-IDF;mixed;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8333;0.8423;0.8333;0.82;0.9389;(1, 1);TF-IDF;under;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8332;0.8508;0.8332;0.8269;0.9379;(1, 2);TF-IDF;over;20;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8331;0.8414;0.8331;0.8221;0.9544;(1, 1);TF-IDF;under;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8327;0.8472;0.8327;0.831;0.9443;(1, 2);TF-IDF;under;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.832;0.8378;0.832;0.8182;0.9485;(1, 1);TF-IDF;over;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8316;0.838;0.8316;0.8222;0.9513;(1, 1);TF-IDF;over;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8316;0.8382;0.8316;0.8193;0.9528;(1, 1);TF-IDF;mixed;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.831;0.8398;0.831;0.8129;0.947;(1, 1);TF-IDF;over;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8305;0.8438;0.8305;0.8281;0.9388;(1, 2);TF-IDF;mixed;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.83;0.8365;0.83;0.817;0.9489;(1, 1);TF-IDF;smote;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8295;0.8422;0.8295;0.8331;0.9494;(1, 2);TF-IDF;mixed;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8293;0.8377;0.8293;0.8172;0.9531;(1, 1);TF-IDF;under;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8291;0.8357;0.8291;0.8191;0.9505;(1, 1);TF-IDF;over;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8291;0.8408;0.8291;0.8322;0.9439;(1, 2);TF-IDF;under;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.829;0.8385;0.829;0.8199;0.9563;(1, 1);TF-IDF;over;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8284;0.8466;0.8284;0.8302;0.9383;(1, 2);TF-IDF;over;15;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8279;0.8504;0.8279;0.8248;0.9332;(1, 2);TF-IDF;under;15;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8276;0.8444;0.8276;0.8305;0.9415;(1, 2);TF-IDF;mixed;15;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8276;0.8366;0.8276;0.8094;0.9492;(1, 1);TF-IDF;mixed;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8276;0.8456;0.8276;0.8311;0.9391;(1, 2);TF-IDF;mixed;15;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8275;0.8364;0.8275;0.8129;0.9361;(1, 1);TF-IDF;mixed;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8273;0.8461;0.8273;0.8312;0.9412;(1, 2);TF-IDF;smote;15;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8267;0.8402;0.8267;0.8223;0.9345;(1, 2);TF-IDF;under;20;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8252;0.8345;0.8252;0.817;0.9534;(1, 1);TF-IDF;mixed;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.825;0.8411;0.825;0.8293;0.944;(1, 2);TF-IDF;under;15;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.825;0.8374;0.825;0.8102;0.931;(1, 1);TF-IDF;under;20;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8248;0.833;0.8248;0.8154;0.9548;(1, 1);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8247;0.8436;0.8247;0.8222;0.9336;(1, 2);TF-IDF;mixed;15;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.824;0.8496;0.824;0.8222;0.932;(1, 2);TF-IDF;under;15;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8237;0.8306;0.8237;0.8158;0.9534;(1, 1);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8237;0.8371;0.8237;0.8305;0.943;(1, 2);TF-IDF;under;15;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
