Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,0.8489,0.8704,0.8489,0.7942,0.8454,0.8714,0.8454,0.8461,0.8506,0.8721,0.8506,0.8509,0.9621,not-balanced,100,10,5,3,18,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0101, 'anger': 0.007, 'anticipation': 0.0104, 'trust': 0.0108, 'surprise': 0.0084, 'sadness': 0.0105, 'disgust': 0.0079, 'joy': 0.0116, 'a_score': 0.4381}",RandomForestClassifier()
RandomForestClassifier,0.849,0.8681,0.849,0.7864,0.8445,0.8634,0.8445,0.8443,0.8505,0.8676,0.8505,0.8506,0.9628,not-balanced,100,10,6,4,761,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0106, 'anger': 0.0062, 'anticipation': 0.0098, 'trust': 0.0112, 'surprise': 0.0082, 'sadness': 0.0094, 'disgust': 0.0065, 'joy': 0.0121, 'a_score': 0.4366}",RandomForestClassifier()
RandomForestClassifier,0.8432,0.8551,0.8432,0.7505,0.8482,0.8717,0.8482,0.8483,0.8504,0.8735,0.8504,0.8508,0.9617,not-balanced,100,10,10,5,675,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0116, 'anger': 0.0061, 'anticipation': 0.0091, 'trust': 0.0095, 'surprise': 0.0068, 'sadness': 0.0112, 'disgust': 0.0071, 'joy': 0.0069, 'a_score': 0.4411}",RandomForestClassifier()
RandomForestClassifier,0.8474,0.8413,0.8474,0.7289,0.8451,0.8379,0.8451,0.8372,0.8503,0.8431,0.8503,0.8425,0.962,not-balanced,100,10,1,5,821,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0108, 'anger': 0.0071, 'anticipation': 0.0076, 'trust': 0.01, 'surprise': 0.0074, 'sadness': 0.0105, 'disgust': 0.0069, 'joy': 0.0084, 'a_score': 0.4126}",RandomForestClassifier()
RandomForestClassifier,0.8471,0.8705,0.8471,0.7888,0.8445,0.8683,0.8445,0.8447,0.8503,0.8719,0.8503,0.8507,0.9629,not-balanced,100,10,3,1,349,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0101, 'anger': 0.006, 'anticipation': 0.0078, 'trust': 0.0096, 'surprise': 0.0069, 'sadness': 0.012, 'disgust': 0.0067, 'joy': 0.0085, 'a_score': 0.437}",RandomForestClassifier()
RandomForestClassifier,0.8499,0.8598,0.8499,0.7594,0.8437,0.8366,0.8437,0.8357,0.8503,0.8426,0.8503,0.8422,0.9634,not-balanced,100,10,7,1,338,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0097, 'anger': 0.0065, 'anticipation': 0.0087, 'trust': 0.0102, 'surprise': 0.0079, 'sadness': 0.0134, 'disgust': 0.0071, 'joy': 0.0084, 'a_score': 0.4113}",RandomForestClassifier()
RandomForestClassifier,0.8466,0.8637,0.8466,0.786,0.8483,0.8662,0.8483,0.8486,0.8503,0.8669,0.8503,0.8503,0.9613,not-balanced,100,10,6,1,148,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0093, 'anger': 0.0072, 'anticipation': 0.0085, 'trust': 0.0096, 'surprise': 0.0073, 'sadness': 0.0111, 'disgust': 0.0067, 'joy': 0.0102, 'a_score': 0.4353}",RandomForestClassifier()
RandomForestClassifier,0.843,0.8371,0.843,0.7123,0.8488,0.8397,0.8488,0.8393,0.8503,0.8413,0.8503,0.8408,0.9604,not-balanced,100,10,9,3,876,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0104, 'anger': 0.0075, 'anticipation': 0.0089, 'trust': 0.0107, 'surprise': 0.0085, 'sadness': 0.0101, 'disgust': 0.008, 'joy': 0.0094, 'a_score': 0.409}",RandomForestClassifier()
RandomForestClassifier,0.8467,0.8497,0.8467,0.7379,0.8451,0.8649,0.8451,0.8445,0.85,0.8695,0.85,0.8503,0.9621,not-balanced,100,10,3,5,516,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0104, 'anger': 0.006, 'anticipation': 0.0072, 'trust': 0.0109, 'surprise': 0.0065, 'sadness': 0.009, 'disgust': 0.0047, 'joy': 0.0129, 'a_score': 0.4417}",RandomForestClassifier()
RandomForestClassifier,0.8469,0.8355,0.8469,0.6911,0.8412,0.8278,0.8412,0.8263,0.8498,0.8392,0.8498,0.8361,0.9629,not-balanced,100,10,3,3,87,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0112, 'anger': 0.0062, 'anticipation': 0.0097, 'trust': 0.0096, 'surprise': 0.006, 'sadness': 0.0086, 'disgust': 0.0063, 'joy': 0.0079, 'a_score': 0.4031}",RandomForestClassifier()
RandomForestClassifier,0.8467,0.8684,0.8467,0.7908,0.8492,0.8727,0.8492,0.8497,0.8497,0.8703,0.8497,0.8502,0.9616,not-balanced,100,10,5,5,413,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0113, 'anger': 0.0064, 'anticipation': 0.0073, 'trust': 0.0107, 'surprise': 0.0074, 'sadness': 0.0085, 'disgust': 0.0074, 'joy': 0.0116, 'a_score': 0.4374}",RandomForestClassifier()
RandomForestClassifier,0.8463,0.8414,0.8463,0.7159,0.8433,0.8339,0.8433,0.8334,0.8495,0.8408,0.8495,0.8401,0.9631,not-balanced,100,10,2,1,325,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0107, 'anger': 0.0075, 'anticipation': 0.0072, 'trust': 0.011, 'surprise': 0.0063, 'sadness': 0.0097, 'disgust': 0.0061, 'joy': 0.0074, 'a_score': 0.411}",RandomForestClassifier()
RandomForestClassifier,0.8462,0.8682,0.8462,0.7907,0.8496,0.8734,0.8496,0.8501,0.8495,0.8705,0.8495,0.85,0.9618,not-balanced,100,10,8,2,413,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0104, 'anger': 0.0063, 'anticipation': 0.0086, 'trust': 0.01, 'surprise': 0.0084, 'sadness': 0.009, 'disgust': 0.0075, 'joy': 0.0123, 'a_score': 0.4415}",RandomForestClassifier()
RandomForestClassifier,0.8481,0.8371,0.8481,0.6942,0.8407,0.8281,0.8407,0.827,0.849,0.8378,0.849,0.8365,0.9629,not-balanced,100,10,8,3,87,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0113, 'anger': 0.0064, 'anticipation': 0.0097, 'trust': 0.0108, 'surprise': 0.0065, 'sadness': 0.0093, 'disgust': 0.006, 'joy': 0.0076, 'a_score': 0.4068}",RandomForestClassifier()
RandomForestClassifier,0.8447,0.8623,0.8447,0.7727,0.8446,0.8616,0.8446,0.8449,0.849,0.8658,0.849,0.8495,0.9625,not-balanced,100,10,7,3,107,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0113, 'anger': 0.0067, 'anticipation': 0.0109, 'trust': 0.0102, 'surprise': 0.0081, 'sadness': 0.0124, 'disgust': 0.0068, 'joy': 0.0104, 'a_score': 0.4354}",RandomForestClassifier()
RandomForestClassifier,0.8406,0.8428,0.8406,0.7236,0.8492,0.8388,0.8492,0.8376,0.8489,0.8384,0.8489,0.8375,0.9609,not-balanced,100,10,3,2,202,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.012, 'anger': 0.0062, 'anticipation': 0.0092, 'trust': 0.0112, 'surprise': 0.0071, 'sadness': 0.0114, 'disgust': 0.006, 'joy': 0.0081, 'a_score': 0.406}",RandomForestClassifier()
RandomForestClassifier,0.8469,0.8668,0.8469,0.7837,0.8477,0.8676,0.8477,0.847,0.8488,0.8684,0.8488,0.8486,0.9623,not-balanced,100,10,5,2,698,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.012, 'anger': 0.0062, 'anticipation': 0.0079, 'trust': 0.0112, 'surprise': 0.0079, 'sadness': 0.0098, 'disgust': 0.0078, 'joy': 0.0065, 'a_score': 0.4388}",RandomForestClassifier()
RandomForestClassifier,0.8432,0.8462,0.8432,0.7335,0.8438,0.8333,0.8438,0.8341,0.848,0.8383,0.848,0.8388,0.9622,not-balanced,100,10,8,1,275,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.011, 'anger': 0.0059, 'anticipation': 0.0086, 'trust': 0.0111, 'surprise': 0.0077, 'sadness': 0.0107, 'disgust': 0.0056, 'joy': 0.0129, 'a_score': 0.4086}",RandomForestClassifier()
RandomForestClassifier,0.8394,0.8429,0.8394,0.7281,0.8484,0.8424,0.8484,0.8416,0.8447,0.8354,0.8447,0.8362,0.9606,not-balanced,100,10,9,1,353,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0111, 'anger': 0.0059, 'anticipation': 0.0086, 'trust': 0.0113, 'surprise': 0.0084, 'sadness': 0.0097, 'disgust': 0.0061, 'joy': 0.0074, 'a_score': 0.4122}",RandomForestClassifier()
