Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,0.9096,0.915,0.9096,0.8979,0.9145,0.9198,0.9145,0.9123,0.9127,0.9175,0.9127,0.9105,0.9739,not-balanced,100,10,8,2,852,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.006, 'anger': 0.0047, 'anticipation': 0.004, 'trust': 0.0047, 'surprise': 0.004, 'sadness': 0.0055, 'disgust': 0.0043, 'joy': 0.0078, 'a_score': 0.3634}",RandomForestClassifier()
RandomForestClassifier,0.9141,0.9194,0.9141,0.9028,0.9122,0.9179,0.9122,0.9099,0.9125,0.9176,0.9125,0.9103,0.9753,not-balanced,100,10,5,1,470,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0057, 'anger': 0.0048, 'anticipation': 0.0045, 'trust': 0.005, 'surprise': 0.0054, 'sadness': 0.0065, 'disgust': 0.0047, 'joy': 0.0078, 'a_score': 0.3671}",RandomForestClassifier()
RandomForestClassifier,0.9123,0.9186,0.9123,0.9007,0.9149,0.9213,0.9149,0.9125,0.9125,0.9186,0.9125,0.9101,0.9752,not-balanced,100,10,9,3,817,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.005, 'anger': 0.0034, 'anticipation': 0.0047, 'trust': 0.0048, 'surprise': 0.0045, 'sadness': 0.0056, 'disgust': 0.0035, 'joy': 0.0035, 'a_score': 0.3651}",RandomForestClassifier()
RandomForestClassifier,0.914,0.9187,0.914,0.9031,0.9099,0.9154,0.9099,0.9075,0.9124,0.9173,0.9124,0.9102,0.9758,not-balanced,100,10,8,4,836,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0057, 'anger': 0.0037, 'anticipation': 0.0054, 'trust': 0.0047, 'surprise': 0.005, 'sadness': 0.006, 'disgust': 0.0043, 'joy': 0.0088, 'a_score': 0.3688}",RandomForestClassifier()
RandomForestClassifier,0.9162,0.9215,0.9162,0.9052,0.9107,0.9164,0.9107,0.9083,0.9124,0.9173,0.9124,0.9102,0.9763,not-balanced,100,10,6,2,359,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0047, 'anger': 0.0039, 'anticipation': 0.0054, 'trust': 0.0059, 'surprise': 0.0045, 'sadness': 0.0069, 'disgust': 0.0043, 'joy': 0.0089, 'a_score': 0.3663}",RandomForestClassifier()
RandomForestClassifier,0.9116,0.9168,0.9116,0.9001,0.9151,0.9197,0.9151,0.9131,0.9123,0.9168,0.9123,0.9101,0.9748,not-balanced,100,10,7,5,990,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0057, 'anger': 0.0041, 'anticipation': 0.0051, 'trust': 0.0047, 'surprise': 0.0047, 'sadness': 0.0062, 'disgust': 0.0044, 'joy': 0.0084, 'a_score': 0.3677}",RandomForestClassifier()
RandomForestClassifier,0.9131,0.9187,0.9131,0.9018,0.9127,0.9172,0.9127,0.9106,0.9123,0.9169,0.9123,0.9101,0.974,not-balanced,100,10,9,4,640,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0061, 'anger': 0.0036, 'anticipation': 0.0048, 'trust': 0.0047, 'surprise': 0.0047, 'sadness': 0.007, 'disgust': 0.0047, 'joy': 0.0086, 'a_score': 0.3678}",RandomForestClassifier()
RandomForestClassifier,0.9123,0.9185,0.9123,0.9009,0.9147,0.9199,0.9147,0.9125,0.9122,0.9177,0.9122,0.9099,0.9743,not-balanced,100,10,1,5,388,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0053, 'anger': 0.004, 'anticipation': 0.0042, 'trust': 0.0052, 'surprise': 0.0038, 'sadness': 0.0072, 'disgust': 0.0044, 'joy': 0.0043, 'a_score': 0.3669}",RandomForestClassifier()
RandomForestClassifier,0.9123,0.9176,0.9123,0.9005,0.9128,0.9176,0.9128,0.9107,0.9122,0.9166,0.9122,0.9101,0.9747,not-balanced,100,10,4,4,798,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0055, 'anger': 0.0042, 'anticipation': 0.0058, 'trust': 0.0051, 'surprise': 0.0047, 'sadness': 0.0066, 'disgust': 0.0045, 'joy': 0.009, 'a_score': 0.3661}",RandomForestClassifier()
RandomForestClassifier,0.9123,0.918,0.9123,0.9013,0.9136,0.9185,0.9136,0.9114,0.9121,0.9168,0.9121,0.9099,0.9738,not-balanced,100,10,7,3,1,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0055, 'anger': 0.0035, 'anticipation': 0.0069, 'trust': 0.0058, 'surprise': 0.0042, 'sadness': 0.0058, 'disgust': 0.0047, 'joy': 0.0088, 'a_score': 0.3692}",RandomForestClassifier()
RandomForestClassifier,0.912,0.9177,0.912,0.9005,0.9137,0.919,0.9137,0.9115,0.9121,0.9171,0.9121,0.9099,0.9734,not-balanced,100,10,9,1,826,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0058, 'anger': 0.0036, 'anticipation': 0.0054, 'trust': 0.0059, 'surprise': 0.0049, 'sadness': 0.0072, 'disgust': 0.0046, 'joy': 0.0044, 'a_score': 0.3657}",RandomForestClassifier()
RandomForestClassifier,0.9136,0.9188,0.9136,0.9029,0.912,0.9165,0.912,0.9097,0.9119,0.9164,0.9119,0.9098,0.9768,not-balanced,100,10,2,2,96,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0049, 'anger': 0.0052, 'anticipation': 0.0049, 'trust': 0.0054, 'surprise': 0.0049, 'sadness': 0.006, 'disgust': 0.0047, 'joy': 0.0075, 'a_score': 0.3682}",RandomForestClassifier()
RandomForestClassifier,0.9102,0.9156,0.9102,0.8993,0.9161,0.9207,0.9161,0.914,0.9118,0.9166,0.9118,0.9097,0.9746,not-balanced,100,10,7,2,760,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0052, 'anger': 0.0046, 'anticipation': 0.005, 'trust': 0.0052, 'surprise': 0.0047, 'sadness': 0.0063, 'disgust': 0.0034, 'joy': 0.0079, 'a_score': 0.3679}",RandomForestClassifier()
RandomForestClassifier,0.9106,0.9162,0.9106,0.8991,0.916,0.9211,0.916,0.9139,0.9117,0.9165,0.9117,0.9095,0.9756,not-balanced,100,10,5,2,400,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0061, 'anger': 0.0044, 'anticipation': 0.004, 'trust': 0.0063, 'surprise': 0.0046, 'sadness': 0.0056, 'disgust': 0.0038, 'joy': 0.0083, 'a_score': 0.3663}",RandomForestClassifier()
RandomForestClassifier,0.9106,0.9166,0.9106,0.8992,0.9161,0.9218,0.9161,0.9139,0.9115,0.9177,0.9115,0.909,0.9738,not-balanced,100,10,2,3,615,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0059, 'anger': 0.0039, 'anticipation': 0.0042, 'trust': 0.0052, 'surprise': 0.0045, 'sadness': 0.0068, 'disgust': 0.0043, 'joy': 0.004, 'a_score': 0.3652}",RandomForestClassifier()
RandomForestClassifier,0.9135,0.9192,0.9135,0.9017,0.913,0.9188,0.913,0.9107,0.9114,0.9166,0.9114,0.9091,0.9748,not-balanced,100,10,10,3,416,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.006, 'anger': 0.0036, 'anticipation': 0.0036, 'trust': 0.0044, 'surprise': 0.0043, 'sadness': 0.005, 'disgust': 0.0041, 'joy': 0.0082, 'a_score': 0.3644}",RandomForestClassifier()
RandomForestClassifier,0.9139,0.9189,0.9139,0.9028,0.9116,0.9169,0.9116,0.9093,0.9113,0.9161,0.9113,0.9091,0.975,not-balanced,100,10,7,4,228,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0059, 'anger': 0.0048, 'anticipation': 0.0051, 'trust': 0.0042, 'surprise': 0.0051, 'sadness': 0.0051, 'disgust': 0.0047, 'joy': 0.0083, 'a_score': 0.366}",RandomForestClassifier()
RandomForestClassifier,0.9147,0.9197,0.9147,0.9033,0.9115,0.917,0.9115,0.9093,0.9111,0.9157,0.9111,0.9089,0.9753,not-balanced,100,10,8,5,306,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0056, 'anger': 0.0036, 'anticipation': 0.0045, 'trust': 0.0052, 'surprise': 0.0047, 'sadness': 0.0039, 'disgust': 0.007, 'joy': 0.0068, 'a_score': 0.365}",RandomForestClassifier()
RandomForestClassifier,0.9162,0.9207,0.9162,0.9049,0.9069,0.9117,0.9069,0.9047,0.9097,0.9136,0.9097,0.9075,0.976,not-balanced,100,10,3,1,859,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.01, 'anger': 0.0036, 'anticipation': 0.0056, 'trust': 0.0047, 'surprise': 0.0043, 'sadness': 0.007, 'disgust': 0.0048, 'joy': 0.0082, 'a_score': 0.3666}",RandomForestClassifier()
